prediction,tweet
1,Just had a long and very good call with President Xi of China. Deal is moving along very well. If made it will be very comprehensive covering all subjects areas and points of dispute. Big progress being made!
0,I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!
1,The Mueller Angry Democrats recently deleted approximately 19000 Text messages between FBI Agent Lisa Page and her lover Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!
1,Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!
0,.....Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!
0,.....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......
0,....The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year (not including Drug Money which would be many times that amount) that I would consider closing the Southern Border a profit making operation. We build a Wall or.....
0,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall &amp; also change the ridiculous immigration laws that our Country is saddled with. Hard to believe there was a Congress &amp; President who would approve!
0,CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany. If these brave young people ask me to sign their hat I will sign. Can you imagine my saying NO? We brought or gave NO hats as the Fake News first reported!
1,This isnt about the Wall everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes but we have the issue Border Security. 2020!
0,Brad Blakeman: The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look this is your neighborhood youve got to stand up to protect yourselves. Dont always look to America.
0,Brad Blakeman: The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look this is your neighborhood youve got to stand up to protect yourselves. Dont always look to America.
0,I totally agree! https://t.co/KO8E3bfWfn
0,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!
1,Border Patrol Agents want the Wall. Democrats say they dont want the Wall (even though they know it is really needed) and they dont want ICE. They dont have much to campaign on do they? An Open Southern Border and the large scale crime that comes with such stupidity!
0,The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case. After ruling Dems dropped deal - and thats where we are today Democrat obstruction of the needed Wall.
1,The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years a U.S. record!
0,The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case. After ruling Dems dropped deal - and thats where we are today Democrat obstruction of the needed Wall.
1,Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs Human TraffickingGang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?
0,Just returned from visiting our troops in Iraq and Germany. One thing is certain we have incredible people representing our Country - people that know how to win!
1,.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1
1,I hope everyone even the Fake News Media is having a great Christmas! Our Country is doing very well. We are securing our Borders making great new Trade Deals and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA
0,Merry Christmas!
1,RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with
1,I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall some complete. Democrats must end Shutdown and finish funding. Billions of Dollars &amp; lives will be saved!
0,Christmas Eve briefing with my team working on North Korea  Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o
0,I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!
1,Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States. See? Isnt it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the U.S. that is 5000 miles away. Thanks to Saudi A!
0,The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is without the Wall much of the rest of Dollars are wasted!
1,I never lashed out at the Acting Attorney General of the U.S. a man for whom I have great respect. This is a made up story one of many by the Fake News Media!
1,The only problem our economy has is the Fed. They dont have a feel for the Market they dont understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who cant score because he has no touch - he cant putt!
0,AMERICA IS RESPECTED AGAIN!
0,For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker.
1,....We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the U.S. and our TAXPAYERS on Trade. General Mattis did not see this as a problem. I DO and it is being fixed!
1,To those few Senators who think I dont like or appreciate being allied with other countries they are wrong I DO. What I dont like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade...
1,Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it. Desperately needed!
0,President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus Turkey is right next door. Our troops are coming home!
0,The President has been remarkable. I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is. Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!
0,The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border. We need Border Security and as EVERYONE knows you cant have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!
1,Mitch McConnell just told a group of people and me that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships &amp; much more. Great!
1,It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and hes right...The generals still dont get the mistake.  @RandPaul
0,RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH
1,Thanks @RandPaul  I am very proud of the President. This is exactly what he promised and I think the people agree with him. Weve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. Hes different...thats why he got elected.
0,.....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!
1,Senator Bob Corker just stated that Im so priveledged to serve in the Senate for twelve years and thats what I told the people of our state thats what Id do serve for two terms. But that is Not True - wanted to run but poll numbers TANKED when I wouldnt endorse him.....
1,We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill. These are two Big Deals but all the Fake News Media wants to talk about is the mistake of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!
0,Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!
0,I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS our mutual involvement in Syria &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade.
1,I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019. Patrick has a long list of accomplishments while serving as Deputy &amp; previously Boeing. He will be great!
1,The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works!
1,When President Obama ingloriously fired Jim Mattis I gave him a second chance. Some thought I shouldnt I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S.
0,If anybody but your favorite President Donald J. Trump announced that after decimating ISIS in Syria we were going to bring our troops back home (happy &amp; healthy) that person would be the most popular hero in America. With me hit hard instead by the Fake News Media. Crazy!
0,Brett McGurk who I do not know was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!
0,I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA
0,Senate adjourns until December 27th.
1,I won an election said to be one of the greatest of all time based on getting out of endless &amp; costly foreign wars &amp; also based on Strong Borders which will keep our Country safe. We fight for the borders of other countries but we wont fight for the borders of our own!
0,The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall. Let work begin!
0,Will be having lunch in White House residence with large group concerning Border Security.
0,....going to be there for three months and that was seven years ago - we never left. When I became President ISIS was going wild. Now ISIS is largely defeated and other local countries including Turkey should be able to easily take care of whatever remains. Were coming home!
0,I am in the White House working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negotiating with the Democrats on desperately needed Border Security (Gangs Drugs Human Trafficking &amp; more) but it could be a long stay. On Syria we were originally...
1,RT @realDonaldTrump: OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a
1,OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a
1,Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!
1,Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect Americas Southern Border! https://t.co/ws6LYhKcKl
1,A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9
0,Today it was my honor to sign into law H.R. 7213 the Countering Weapons of Mass Destruction Act of 2018. The Act redesignates the @DHSgov Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office. Read more: https://t.co/XCkyc8pGZF https://t.co/TTvGxBww5n
1,Today it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK
0,Ive done more damage to ISIS than all recent presidents....not even close!
0,The Democrats now own the shutdown!
1,General Anthony Tata author Dark Winter. I think the President is making the exact right move in Syria. All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS.
0,There has never been a president who has been tougher (but fair) on China or Russia - Never just look at the facts. The Fake News tries so hard to paint the opposite picture.
1,Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEEDED Border Security! Have my total support.
0,Mitch use the Nuclear Option and get it done! Our Country is counting on you!
0,Even President Ronald Reagan tried for 8 years to build a Border Wall or Fence and was unable to do so. Others also have tried. We will get it done one way or the other!
1,Shutdown today if Democrats do not vote for Border Security!
0,House Republican Vote 217-185.
1,The Democrats whose votes we need in the Senate will probably vote against Border Security and the Wall even though they know it is DESPERATELY NEEDED. If the Dems vote no there will be a shutdown that will last for a very long time. People dont want Open Borders and Crime!
1,No matter what happens today in the Senate Republican House Members should be very proud of themselves. They flew back to Washington from all parts of the World in order to vote for Border Security and the Wall. Not one Democrat voted yes and we won big. I am very proud of you!
0,.....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work and the Democrats are lying when they say they dont. In Israel the Wall is 99.9% successful. Will not be any different on our Southern Border! Hundreds of $Billions saved!
0,The Democrats are trying to belittle the concept of a Wall calling it old fashioned. The fact is there is nothing elses that will work and that has been true for thousands of years. Its like the wheel there is nothing better. I know tech better than anyone &amp; technology.....
1,Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will need Democrat votes but as shown in the House good things happen. If enough Dems dont vote it will be a Democrat Shutdown! House Republicans were great yesterday!
1,Soon to be Speaker Nancy Pelosi said last week live from the Oval Office that the Republicans didnt have the votes for Border Security. Today the House Republicans voted and won 217-185. Nancy does not have to apologize. All I want is GREAT BORDER SECURITY!
0,Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final numbers were 217-185 and many have said that the enthusiasm was greater than they have ever seen before. So proud of you all. Now on to the Senate!
0,General Jim Mattis will be retiring with distinction at the end of February after having served my Administration as Secretary of Defense for the past two years. During Jims tenure tremendous progress has been made especially with respect to the purchase of new fighting....
1,....equipment. General Mattis was a great help to me in getting allies and other countries to pay their share of military obligations. A new Secretary of Defense will be named shortly. I greatly thank Jim for his service!
0,Democrats it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security must become a #1 priority! https://t.co/Wck6UpQGil
1,Farm Bill signing in 15 minutes! #Emmys #TBT https://t.co/KtSS17xvIn
0,So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting for our enemy Syria by staying &amp; killing ISIS for them Russia Iran &amp; other locals? Time to focus on our Country &amp; bring our youth back home where they belong!
1,Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great bi-partisan achievement for everybody. When both parties work together we can keep our Country safer. A wonderful thing for the U.S.A.!!
1,When I begrudgingly signed the Omnibus Bill I was promised the Wall and Border Security by leadership. Would be done by end of year (NOW). It didnt happen! We foolishly fight for Border Security for other countries - but not for our beloved U.S.A. Not good!
1,RT @realDonaldTrump: After historic victories against ISIS its time to bring our great young people home! https://t.co/xoNjFzQFTp
1,With so much talk about the Wall people are losing sight of the great job being done on our Southern Border by Border Patrol ICE and our great Military. Remember the Caravans? Well they didnt get through and none are forming or on their way. Border is tight. Fake News silent!
1,The Democrats who know Steel Slats (Wall) are necessary for Border Security are putting politics over Country. What they are just beginning to realize is that I will not sign any of their legislation including infrastructure unless it has perfect Border Security. U.S.A. WINS!
1,....Russia Iran Syria &amp; many others are not happy about the U.S. leaving despite what the Fake News says because now they will have to fight ISIS and others who they hate without us. I am building by far the most powerful military in the world. ISIS hits us they are doomed!
1,Does the USA want to be the Policeman of the Middle East getting NOTHING but spending precious lives and trillions of dollars protecting others who in almost all cases do not appreciate what we are doing? Do we want to be there forever? Time for others to finally fight.....
0,Getting out of Syria was no surprise. Ive been campaigning on it for years and six months ago when I very publicly wanted to do it I agreed to stay longer. Russia Iran Syria &amp; others are the local enemy of ISIS. We were doing there work. Time to come home &amp; rebuild. #MAGA
0,Im proud of the President today to hear that he is declaring victory in Syria. Senator Rand Paul.  I couldnt agree more with the presidents decision. By definition this is the opposite of an Obama decision. Senator Mike Lee
1,Trump gets no credit for what hes done in the Middle East.  @IngrahamAngle  So true thank you Laura!
1,Col. Jim Carafano on @IngrahamAngle Trump has made the Middle East a better place. When Trump came into office ISIS was running amuck in the Middle East. Over a million refugees poured into Western Europe - none of that is happening today. Thats all due to Trump.
0,"RT @GovMikeHuckabee: It took a British court to reveal it but more shocking evidence of the REAL ""Russian collusion"" and it wasn't about @"
1,After historic victories against ISIS its time to bring our great young people home! https://t.co/xoNjFzQFTp
0,....In any event it goes on and on &amp; the new AG who is now being replaced by yet another AG (who openly campaigned on a GET TRUMP agenda) does little else but rant rave &amp; politic against me. Will never be treated fairly by these people - a total double standard of justice.
0,...sleazebag AG Eric Schneiderman who has since resigned over horrific women abuse when I wanted to close the Foundation so as not to be in conflict with politics. Shady Eric was head of New Yorkers for Clinton and refused to even look at the corrupt Clinton Foundation......
1,The Trump Foundation has done great work and given away lots of money both mine and others to great charities over the years - with me taking NO fees rent salaries etc. Now as usual I am getting slammed by Cuomo and the Dems in a long running civil lawsuit started by.....
0,We have defeated ISIS in Syria my only reason for being there during the Trump Presidency.
0,Mexico is paying (indirectly) for the Wall through the new USMCA the replacement for NAFTA! Far more money coming to the U.S. Because of the tremendous dangers at the Border including large scale criminal and drug inflow the United States Military will build the Wall!
0,In our Country so much money has been poured down the drain for so many years but when it comes to Border Security and the Military the Democrats fight to the death. We won on the Military which is being completely rebuilt. One way or the other we will win on the Wall!
0,In our Country so much money has been poured down the drain for so many years but the Democrats fight us like cats and dogs when it comes to spending on Boarder Security (including a Wall) and the Military. We won on the Military it is being completely rebuilt. We will win...
1,....This will keep our communities safer and provide hope and a second chance to those who earn it. In addition to everything else billions of dollars will be saved. I look forward to signing this into law!
1,America is the greatest Country in the world and my job is to fight for ALL citizens even those who have made mistakes. Congratulations to the Senate on the bi-partisan passing of a historic Criminal Justice Reform Bill....
0,The Democrats are saying loud and clear that they do not want to build a Concrete Wall - but we are not building a Concrete Wall we are building artistically designed steel slats so that you can easily see through it....
1,....It will be beautiful and at the same time give our Country the security that our citizens deserve. It will go up fast and save us BILLIONS of dollars a month once completed!
1,Congratulations to @MarthaMcSally on her appointment by Governor @DougDucey as the Great new Senator from Arizona - I have no doubt she will do a fantastic job!
1,President Donald J. Trumps Commission on School Safety examined ways to make our schools safe for all students and teachers. Read more: https://t.co/Sj3T2B3cKW https://t.co/M0iiESm2fJ
1,RT @VP: Today @POTUS Trump will direct the @DeptofDefense to establish a Combatant Command that will oversee all of our military activitie
1,RT @FLOTUS: Merry Christmas from President Donald J. Trump and First Lady Melania Trump. @POTUS &amp; @FLOTUS are seen Saturday December 15 i
0,Michael Isikoff was the first to report Dossier allegations and now seriously doubts the Dossier claims. The whole Russian Collusion thing was a HOAX but who is going to restore the good name of so many people whose reputations have been destroyed?
0,....WILL NEVER BE PROVEN AND ARE LIKELY FALSE.  Thank you to Michael Isikoff Yahoo for honesty. What this means is that the FISA WARRANTS and the whole Russian Witch Hunt is a Fraud and a Hoax which should be ended immediately. Also it was paid for by Crooked Hillary &amp; DNC!
0,Russia Dossier reporter now doubts dopey Christopher Steeles claims! When you get into the details of the Steele Dossier the specific allegations we have not seen the evidence to support them. Theres good grounds to think that some of the more sensational allegations.....
0,Illegal immigration costs the United States more than 200 Billion Dollars a year. How was this allowed to happen?
0,Facebook Twitter and Google are so biased toward the Dems it is ridiculous! Twitter in fact has made it much more difficult for people to join @realDonaldTrump. They have removed many names &amp; greatly slowed the level and speed of increase. They have acknowledged-done NOTHING!
1,I hope the people over at the Fed will read todays Wall Street Journal Editorial before they make yet another mistake. Also dont let the market become any more illiquid than it already is. Stop with the 50 Bs. Feel the market dont just go by meaningless numbers. Good luck!
1,Good luck today in court to General Michael Flynn. Will be interesting to see what he has to say despite tremendous pressure being put on him about Russian Collusion in our great and obviously highly successful political campaign. There was no Collusion!
1,Biggest outrage yet in the long winding and highly conflicted Mueller Witch Hunt is the fact that 19000 demanded Text messages between Peter Strzok and his FBI lover Lisa Page were purposely &amp; illegally deleted. Would have explained whole Hoax which is now under protest!
1,Today I am making good on my promise to defend our Farmers &amp; Ranchers from unjustified trade retaliation by foreign nations. I have authorized Secretary Perdue to implement the 2nd round of Market Facilitation Payments. Our economy is stronger than everwe stand with our Farmers!
0,RT @WhiteHouse: On December 17 1903 the first successful flight of Wilbur and Orville Wright's handcrafted biplane ushered in the age of
0,Anytime you hear a Democrat saying that you can have good Border Security without a Wall write them off as just another politician following the party line. Time for us to save billions of dollars a year and have at the same time far greater safety and control!
1,It is incredible that with a very strong dollar and virtually no inflation the outside world blowing up around us Paris is burning and China way down the Fed is even considering yet another interest rate hike. Take the Victory!
0,Anytime you hear a Democrat saying that you can have good Boarder Security without a Wall write them off as just another politician following the party line. Time for us to save billions of dollars a year and have at the same time far greater safety and control!
1,The DEDUCTIBLE which comes with ObamaCare is so high that it is practically not even useable! Hurts families badly. We have a chance working with the Democrats to deliver great HealthCare! A confirming Supreme Court Decision will lead to GREAT HealthCare results for Americans!
0,....The Russian Witch Hunt Hoax started as the insurance policy long before I even got elected is very bad for our Country. They are Entrapping people for misstatements lies or unrelated things that took place many years ago. Nothing to do with Collusion. A Democrat Scam!
0,....a persecution of the President.  Daniel Henninger The Wall Street Journal. Thank you people are starting to see and understand what this Witch Hunt is all about. Jeff Sessions should be ashamed of himself for allowing this total HOAX to get started in the first place!
0,It looks here as though General Flynns defenses are incidental to something larger which is for the prosecution to figure out if it can find a path to Donald Trump without quite knowing what that crime might be. It stops looking like prosecution and more looking like......
0,Required television watching is last weeks @marthamaccallum interview with the wonderful wife of Rod Blagojevich and the @trish_regan interview with a Jerome Corsi. If that doesnt tell you something about what has been going on in our Country nothing will. Very sad!
0,Required television watching is last weeks @marthamaccallum interview with the wonderful wife of @RodBlagojevich and the @trishregan interview with a Jerome Corsi. If that doesnt tell you something about what has been going on in our Country nothing will. Very sad!
0,The Democrats policy of Child Seperation on the Border during the Obama Administration was far worse than the way we handle it now. Remember the 2014 picture of children in cages - the Obama years. However if you dont separate FAR more people will come. Smugglers use the kids!
0,Judge Ken Starr former Solicitor Generel &amp; Independent Counsel just stated that after two years there is no evidence or proof of collusion &amp; further that there is no evidence that there was a campaign financing violation involving the President. Thank you Judge. @FoxNews
1,At the request of many I will be reviewing the case of a U.S. Military hero Major Matt Golsteyn who is charged with murder. He could face the death penalty from our own government after he admitted to killing a Terrorist bomb maker while overseas. @PeteHegseth @FoxNews
0,Remember Michael Cohen only became a Rat after the FBI did something which was absolutely unthinkable &amp; unheard of until the Witch Hunt was illegally started. They BROKE INTO AN ATTORNEYS OFFICE! Why didnt they break into the DNC to get the Server or Crookeds office?
0,So where are all the missing Text messages between fired FBI agents Peter S and the lovely Lisa Page his lover. Just reported that they have been erased and wiped clean. What an outrage as the totally compromised and conflicted Witch Hunt moves ever so slowly forward. Want them!
0,A REAL scandal is the one sided coverage hour by hour of networks like NBC &amp; Democrat spin machines like Saturday Night Live. It is all nothing less than unfair news coverage and Dem commercials. Should be tested in courts cant be legal? Only defame &amp; belittle! Collusion?
1,Wow 19000 Texts between Lisa Page and her lover Peter S of the FBI in charge of the Russia Hoax were just reported as being wiped clean and gone. Such a big story that will never be covered by the Fake News. Witch Hunt!
0,The pathetic and dishonest Weekly Standard run by failed prognosticator Bill Kristol (who like many others never had a clue) is flat broke and out of business. Too bad. May it rest in peace!
0,Never in the history of our Country has the press been more dishonest than it is today. Stories that should be good are bad. Stories that should be bad are horrible. Many stories like with the REAL story on Russia Clinton &amp; the DNC seldom get reported. Too bad!
1,.......The Trump Administration will be announcing the new Secretary of the Interior next week.
0,Secretary of the Interior @RyanZinke will be leaving the Administration at the end of the year after having served for a period of almost two years. Ryan has accomplished much during his tenure and I want to thank him for his service to our Nation.......
1,Wow but not surprisingly ObamaCare was just ruled UNCONSTITUTIONAL by a highly respected judge in Texas. Great news for America!
1,As I predicted all along Obamacare has been struck down as an UNCONSTITUTIONAL disaster! Now Congress must pass a STRONG law that provides GREAT healthcare and protects pre-existing conditions. Mitch and Nancy get it done!
1,For the record there were MANY people who wanted to be the White House Chief of Staff. Mick M will do a GREAT job!
1,....I look forward to working with him in this new capacity as we continue to MAKE AMERICA GREAT AGAIN! John will be staying until the end of the year. He is a GREAT PATRIOT and I want to personally thank him for his service!
1,I am pleased to announce that Mick Mulvaney Director of the Office of Management &amp; Budget will be named Acting White House Chief of Staff replacing General John Kelly who has served our Country with distinction. Mick has done an outstanding job while in the Administration....
0,Thank you to @tim_cook for agreeing to expand operations in the U.S. and thereby creating thousands of jobs! https://t.co/2zOVxp9nTF
1,Many people have asked how we are doing in our negotiations with North Korea - I always reply by saying we are in no hurry there is wonderful potential for great economic success for that country....
1,....Kim Jong Un sees it better than anyone and will fully take advantage of it for his people. We are doing just fine!
0,China just announced that their economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!
0,China just announce the there economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!
0,Lets not do a shutdown Democrats - do whats right for the American People! https://t.co/bZg07ZKQqo
1,Today it was my honor to welcome our Nations newly elected Governors to the @WhiteHouse! https://t.co/LCpFIoRglp
1,Happy 382nd Birthday @USNationalGuard. Our entire Nation is forever grateful for all you do 24/7/365. We love you! #Guard382 https://t.co/XLoCxOFvMA
0,Just did an interview with @HARRISFAULKNER on @FoxNews airing now (1pmE.) Enjoy!
0,....She will probably be given a pass despite their terrible ratings. Congratulations to @RichardGrenell our great Ambassador to Germany for having the courage to take this horrible issue on!
0,If it was a Conservative that said what crazed Mika Brzezinski stated on her show yesterday using a certain horrible term that person would be banned permanently from television....
0,WITCH HUNT!
